samples,locations
"Was on the way back home and i saw a bunch of middle aged men sitting around a table , i took out my phone just so i looked busy in case and...","19, Jalan Khatib Koyan, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
"While walking, with friends,  always get catcalls","Jalan Raya Barat, Kawasan 1, 41100 Klang, Selangor, Malaysia"
Not touching by hand but he touch by pen at my back parts,"3, Jalan Aluminium 7/27, Seksyen 7, 40000 Shah Alam, Selangor, Malaysia"
My school auto driver always use to stare at me or try to talk to me whenever I alone in auto. He also tries to touch me. I complained it to...,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"
I was in market with my mom. There I saw a man was sitting beside a shop and he was continuously staring a girl. After sometime he started whistling...,"Near Nissan Showroom, Bailey Rd, Patna, Bihar 801503, India"
"While I was standing in the lrt station, I felt someone grabbed my back firmly. My girlfriend told me that it was a guy.","Wisma Central, 147, Jalan Ampang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
guy just started following me,"Griekwastad, South Africa"
Was walking by the town library,"281 Church St, Pietermaritzburg, 3201, South Africa"
Was walking by the town library,"281 Church St, Pietermaritzburg, 3201, South Africa"
A group of boys came on their bike and snatched one lady's purse and ran away,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"
"My mother and aunt was going to market, while returning from there. Two man came on bike and snatched my mother's chain","Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"
walking around the shopping lots with some girlfriends when a group of men catcalled us,"34, Jalan PJS 11/22, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia"
A boy was following me while I was coming back from school.,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"
My sister and I was going to eat golgappa and a boy was commenting and intentionally bumping into my cousin.,"Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"
this happened long ago but cannot forget it. The fellow was behind me when he kept touching my butt and around. month day time are approximate,"15-61, Ranganathan St, Postal Colony, T Nagar, Chennai, Tamil Nadu 600017, India"
The bank was near my hotel. Me and my friend wanted to draw our money before heading back to hotel after dinner. Everything was fine except...,"Padang Besar MPK, Jalan Bukit Ubi, Kompleks Pentadbiran Kerajaan Negeri Pahang, 25200 Kuantan, Pahang, Malaysia"
One day I was playing in garden of my house. My friend called me she used to live on the next side of the road. A boy started making faces at...,"danapur gola road, Bihar 801503, India"
"During the course of the interview the MD asked me Inappropriate questions like "" what would you do if some man touches you when you are walking...","308,DLF South Court, Saket"
"Young men commenting on a girl with a short skirts; sexy, hot","Kibera slum, Nairobi, Kenya"
A Man was touching my hand when I was travelling in public auto. When I asked why are doing this he clearly refused and pretended to be innocent.,"Gola Rd, Bank Colony, Chanakya Puri, Danapur Nizamat, Danapur, Bihar 801503, India"
"One day I saw a man was, snatching one lady's dupatta. And no one was helping her","Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"
Butt was groped when going out of the bus,"40, Jalan Medan Setia, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
a boy in class seven is calling a girl his sweet baby,"Olympic Estate, Nairobi, Kenya"
A grade six boy calling a girl sweet baby every time she passes,"Kibera slum, Nairobi, Kenya"
A grade six boy calling a girl sweet baby every time she passes,"Kibera slum, Nairobi, Kenya"
"not me, but a close friend of mine and i was there. some guys were lounging at the car park and kept hooting and hollering while making crude...","3, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia"
"I was accompanying my brother to smoke, and the stares from the males made me feel uncomfortable","2, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
"A girl senior from me who lived in my apartment was harassed by group of boys. Everdag they form a group with their bike and harass her by whistling,...","Chanakya Puri, Danapur Nizamat, Patna, Bihar 801503, India"
a girl is being harassed with boys they touch her on the private parts and if she refuses they beat her up and threaten her up,"joysprings school,kibera nairobi"
some boys like pulling and touching a girl in a corridor when she has been sent to the shop,"joysprings school,kibera nairobi"
There are some boys who like touching girls on the buttocks and breast,Olympic Kibera nairobi
there are some boys who normally wait for a girl when she is from school and want to touch her breast.They told  her if she refuses they will...,Olympic Kibera nairobi
some boys do call a girl wherever they meet her and they also run after her  but the girl usually hide where she cant be seen by them and the...,Olympic Kibera nairobi
A middle aged guy groped in bus,"75, Pollachi - Udumalpet Rd, Puliampatti, Pollachi, Tamil Nadu 642001, India"
A middle aged guy groped me in bus,"75, Pollachi - Udumalpet Rd, Puliampatti, Pollachi, Tamil Nadu 642001, India"
A middle aged guy groped me in bus,"75, Pollachi - Udumalpet Rd, Puliampatti, Pollachi, Tamil Nadu 642001, India"
There are boys who like disturbing me and touching my private parts,"Kibera, Nairobi, Kenya"
"I have a boyfriend who likes touching me every time have been sent to the shop and tells me to go to his place , I don't like what he is doing...","Kibera, Nairobi, Kenya"
A girl says when she is walking  boys call her and if she refuses they want to beat her,"Kibera slum, Nairobi, Kenya"
Harassment from boys and and grown men who fit to be your grand father or father .Men do harass small children  by threatening them and taking...,"Kibera slum, Nairobi, Kenya"
A girl says where she lives there a person who does sex and calls her beutiful,"Kibera slum, Nairobi, Kenya"
